hero_id,primary_attr,attack_type,roles,base_health,base_health_regen,base_mana,base_mana_regen,base_armor,base_magic_resistance,base_attack_min,base_attack_max,base_strength,base_agility,base_intelligence,strength_gain,agility_gain,intelligence_gain,attack_range,projectile_speed,attack_rate,move_speed,turn_rate
1,agi,Melee,Carry:Escape:Nuker,200,1.5,75,0.9,-1,25,27,31,22,22,12,1.3,2.8,1.8,150,0,1.45,310,0.5
2,str,Melee,Initiator:Durable:Disabler:Jungler,200,4.25,75,0.9,-1,25,24,28,25,20,18,2.8,2.2,1.6,150,900,1.7,290,0.6
3,int,Ranged,Support:Disabler:Nuker:Durable,200,1.5,75,0.9,1,25,37,43,23,23,23,2.4,2.4,2.4,400,900,1.7,310,0.6
4,agi,Melee,Carry:Disabler:Jungler:Nuker:Initiator,200,1.5,75,0.9,0,25,33,39,23,24,18,2.7,3,1.7,150,900,1.7,285,0.5
5,int,Ranged,Support:Disabler:Nuker:Jungler,200,1.5,75,0.9,-1,25,19,25,16,16,16,2,1.6,2.9,600,900,1.7,275,0.5
6,agi,Ranged,Carry:Disabler:Pusher,200,1.5,75,0.9,-3,25,14,25,17,26,15,1.9,1.9,1.4,625,1250,1.7,285,0.7
7,str,Melee,Support:Initiator:Disabler:Nuker,200,2,75,0.9,1,25,24,34,22,12,16,3.2,1.4,1.8,150,0,1.7,310,0.9
8,agi,Melee,Carry:Pusher:Escape,200,2,75,0.9,0,25,22,26,20,26,14,2.2,2.4,1.4,150,0,1.4,295,0.6
9,agi,Ranged,Carry:Support:Escape:Nuker:Disabler,200,1.5,75,0.9,-1,25,21,32,17,18,17,2.15,3.2,1.65,630,900,1.7,295,0.5
10,agi,Ranged,Carry:Escape:Durable:Nuker:Disabler,200,1.5,75,0.9,-2,25,9,18,19,24,13,2.3,3.7,1.1,350,1300,1.5,280,0.6
11,agi,Ranged,Carry:Nuker,200,1.75,75,0.9,-2,25,15,21,15,20,18,2.3,2.9,2,500,1200,1.7,310,1
12,agi,Melee,Carry:Escape:Pusher:Nuker,200,3,75,0.9,0,25,22,44,21,29,21,2,2.8,2,150,900,1.7,285,0.6
13,int,Ranged,Initiator:Disabler:Escape:Nuker,200,1.5,75,0.9,-2,25,28,39,15,22,25,2,1.7,2.4,550,900,1.7,295,0.5
14,str,Melee,Disabler:Initiator:Durable:Nuker,200,1.5,75,0.9,-1,25,27,33,25,14,14,3.5,1.5,1.5,150,0,1.7,280,0.7
