user_id,hero_id,id,num_games,num_wins,kda_ratio
1,74,1_74,304,185,3743.6997319
1,65,1_65,255,151,4009.0215128
1,39,1_39,203,135,5094.6215139
1,106,1_106,158,106,4619.2129629
1,2,1_2,157,94,2871.627907
1,46,1_46,154,103,3533.3333333
1,51,1_51,128,78,3635.7786358
1,17,1_17,118,75,3732.9192547
1,69,1_69,116,65,3477.3413897
2,74,2_74,657,362,3061.0596341
2,8,2_8,493,256,2712.1680049
2,11,2_11,487,229,2664.801343
2,52,2_52,386,240,3007.8311202
2,73,2_73,241,123,2615.625
2,70,2_70,218,134,3032.2156476
2,39,2_39,205,106,3035.9897172
2,18,2_18,195,113,2974.1824441
2,76,2_76,172,85,2617.2624237
5,74,5_74,276,160,3899.4082841
5,46,5_46,251,162,3785.1307189
5,1,5_1,240,145,5032.2147651
5,93,5_93,237,137,4661.1740474
5,8,5_8,224,116,3817.8010471
5,17,5_17,212,122,3698.9335521
5,11,5_11,196,100,2917.8321678
5,109,5_109,176,105,4221.5657312
5,10,5_10,167,106,5712.3287672
6,74,6_74,295,166,3802.3019635
6,53,6_53,293,152,3383.678441
6,13,6_13,247,128,4087.7893057
6,9,6_9,204,118,4139.9217221
6,19,6_19,202,121,3730.8377897
6,17,6_17,197,114,4405.6308655
6,80,6_80,186,104,4320.3883494
6,51,6_51,185,118,3828.202582
6,25,6_25,185,107,3276.9652651
7,62,7_62,1512,855,3181.3036334
7,91,7_91,1107,643,2126.5707105
7,22,7_22,1058,568,3716.1174686
7,67,7_67,474,249,4159.4259116
7,17,7_17,424,200,2431.8757922
7,106,7_106,381,196,3247.0167064
7,27,7_27,300,167,2164.7940075
7,75,7_75,296,165,2660.496614
7,54,7_54,293,140,3215.9090909
8,74,8_74,780,459,3830.3215208
8,17,8_17,380,205,3680.9789609
8,65,8_65,374,225,3908.4041548
8,34,8_34,293,149,3580.4597701
8,11,8_11,255,135,3149.4708995
8,13,8_13,244,127,3585.2112676
8,52,8_52,242,167,4264.604811
8,76,8_76,235,125,3721.3675213
8,46,8_46,207,112,3847.1953579
11,86,11_86,324,188,2411.8835893
11,33,11_33,304,177,2944.8698315
11,9,11_9,279,151,2776.9436997
11,16,11_16,242,134,2777.9710145
11,21,11_21,232,135,2724.3589744
11,107,11_107,215,103,2524.3902439
11,14,11_14,211,113,2391.3288288
11,26,11_26,198,108,2132.8413284
11,51,11_51,197,109,3055.2523874
12,74,12_74,620,368,4649.3333334
12,91,12_91,463,255,2913.4358289
12,86,12_86,393,213,3065.4890134
12,107,12_107,327,172,3454.9665466
12,14,12_14,261,133,3270.9973753
12,16,12_16,256,132,3206.5289807
12,87,12_87,248,137,3366.6201117
12,7,12_7,238,130,3433.8129496
12,11,12_11,218,130,3692.893401
13,65,13_65,665,432,6206.2228655
13,6,13_6,242,184,4144.6327684
13,120,13_120,183,108,4196.0556844
13,61,13_61,136,74,3474.9034749
13,1,13_1,135,82,5455.9193955
13,44,13_44,131,67,4036.4238411
13,53,13_53,129,72,3425.5319149
13,4,13_4,116,71,4551.6666667
13,104,13_104,109,65,3472
14,110,14_110,1594,1033,4749.3699596
14,61,14_61,546,324,3544.973545
14,93,14_93,422,231,4276.5151515
14,69,14_69,248,161,4476.9736842
14,107,14_107,233,140,3006.5398335
14,62,14_62,186,92,3176.5175719
14,23,14_23,176,95,3573.4840699
14,101,14_101,175,91,3269.8019802
14,88,14_88,168,92,2737.6910017
16,106,16_106,307,197,3830.1886792
16,17,16_17,293,177,3073.6887733
